#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;0;0;0;0.0;-2.74805004884;-0.140468062016
0.05;0;0;0;0.5;-2.72462691646;-0.124212832426
0.05;0;0;0;1.0;-2.7755868932;-0.131651196996
0.05;0;0;0;1.5;-2.93617370366;-0.166400323398
0.05;0;0;0;2.0;-2.99272854219;-0.17057618981
0.05;0;0;0;3.0;-2.98264386874;-0.154104062183
0.05;0;0;0;4.0;-3.14217497332;-0.166421670652
0.05;0;0;45;0.0;-2.73877580927;-0.136269850969
0.05;0;0;45;0.5;-2.74558977534;-0.120581090926
0.05;0;0;45;1.0;-2.76637298058;-0.132646159384
0.05;0;0;45;1.5;-2.8802448695;-0.148608451415
0.05;0;0;45;2.0;-2.97343994015;-0.165050143751
0.05;0;0;45;3.0;-2.96488609769;-0.147579994159
0.05;0;0;45;4.0;-3.14980686984;-0.167493379989
0.05;0;0;90;0.0;-2.77388091665;-0.144305843878
0.05;0;0;90;0.5;-2.73882763268;-0.123448553086
0.05;0;0;90;1.0;-2.78608280002;-0.126360709057
0.05;0;0;90;1.5;-2.90884059952;-0.154470640638
0.05;0;0;90;2.0;-3.01450977885;-0.173899212003
0.05;0;0;90;3.0;-3.02607426269;-0.160187033754
0.05;0;0;90;4.0;-3.16701264262;-0.173675024168
0.05;0;0;125;0.0;-2.71672996254;-0.129200066377
0.05;0;0;125;0.5;-2.76110944019;-0.134700915324
0.05;0;0;125;1.0;-2.78931448293;-0.133253306
0.05;0;0;125;1.5;-2.96214938374;-0.165761899675
0.05;0;0;125;2.0;-2.98927966893;-0.167270017805
0.05;0;0;125;3.0;-3.07500188468;-0.170657029759
0.05;0;0;125;4.0;-3.12264182097;-0.16450912118
0.05;0;0;180;0.0;-2.7618787578;-0.140018078942
0.05;0;0;180;0.5;-2.77092810604;-0.132503653534
0.05;0;0;180;1.0;-2.80287826957;-0.133364858081
